主题编号,排名,文档索引,日期,标签,主题概率
1,1,397,2025-12-01 09:02:00,台湾问题,0.9982087
1,2,204,2025-12-01 09:56:00,台湾问题,0.99818295
1,3,453,2025-12-01 13:11:00,台湾问题,0.9981795
2,1,5199,2025-11-26 08:27:08,people,0.99938464
2,2,5212,2025-11-17 08:46:14,people,0.9992709
2,3,5216,2025-11-17 08:59:24,people,0.999264
3,1,3144,2025-12-01 07:08:00,中国 日本,0.9991924
3,2,3659,2025-12-01 08:05:00,中国 日本,0.99915254
3,3,2789,2025-12-01 08:46:00,中国 日本,0.9991489
4,1,4981,2025-11-13 08:05:53,people,0.9995194
4,2,587,2025-12-01 13:45:00,中日,0.99929947
4,3,642,2025-12-01 11:40:00,中日,0.9992991
